[B;i;n;t;e;r;o;a;l;c;g;i;x;s;v;<;+;*;/;%;^;=;>;-;u;f;m;F;d;q;h;(;);[;];z;:;@;1;2;3;4;5;6;7;8;9]

0;[F;1;43;25;29;10;46;63;20;13;;;47;50;125;36;37;38;38;39;40;41;42;37;;56;;59;62;;;110;111;112;113;;116;181;F;F;F;F;F;F;F;F;F]
140;[F;F;F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
141;[F;F;F;F;F;F;142;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
142;[F;F;F;F;F;143;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
143;[F;F;144;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
144;[F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
145;[F;F;F;F;F;F;F;F;F;F;F;F;F;146;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
146;[F;F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
147;[F;F;F;F;148;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
148;[F;F;F;F;F;149;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
149;[F;F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
150;[V;F;F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
151;[F;F;F;F;F;F;152;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
152;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;153;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
153;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;154;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
154;[F;F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
155;[F;156;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
156;[F;F;157;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
157;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;158;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
158;[F;F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
159;[F;F;F;F;160;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
160;[F;F;F;F;F;F;F;161;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
161;[F;F;F;162;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
162;[F;F;F;F;F;F;163;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
163;[F;F;F;F;F;164;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
164;[F;165;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
165;[F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
166;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;167;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
167;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;168;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
168;[F;169;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
169;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;170;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
170;[F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
171;[F;F;F;F;F;172;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
172;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;173;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
173;[F;F;F;F;F;F;F;174;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
174;[F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;175;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
175;[F;F;F;F;176;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
176;[F;177;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
177;[F;F;F;F;F;178;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
178;[F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
179;[F;F;F;F;F;F;F;F;F;F;F;F;F;180;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
180;[F;F;F;F;F;F;116;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
181;[F;182;182;182;182;182;182;182;182;182;182;182;182;182;182;F;F;F;F;F;F;F;F;F;182;182;182;182;182;182;182;F;F;F;F;182;F;F;182;182;182;182;182;182;182;182;182]
182;[V;183;183;183;183;183;183;183;183;183;183;183;183;183;183;F;F;F;F;F;F;F;F;F;183;183;183;183;183;183;183;F;F;F;F;183;F;F;183;183;183;183;183;183;183;183;183]
183;[V;184;184;184;184;184;184;184;184;184;184;184;184;184;184;F;F;F;F;F;F;F;F;F;184;184;184;184;184;184;184;F;F;F;F;184;F;F;184;184;184;184;184;184;184;184;184]
184;[V;185;185;185;185;185;185;185;185;185;185;185;185;185;185;F;F;F;F;F;F;F;F;F;185;185;185;185;185;185;185;F;F;F;F;185;F;F;185;185;185;185;185;185;185;185;185]
185;[V;186;186;186;186;186;186;186;186;186;186;186;186;186;186;F;F;F;F;F;F;F;F;F;186;186;186;186;186;186;186;F;F;F;F;186;F;F;186;186;186;186;186;186;186;186;186]
186;[V;187;187;187;187;187;187;187;187;187;187;187;187;187;187;F;F;F;F;F;F;F;F;F;187;187;187;187;187;187;187;F;F;F;F;187;F;F;187;187;187;187;187;187;187;187;187]
187;[V;188;188;188;188;188;188;188;188;188;188;188;188;188;188;F;F;F;F;F;F;F;F;F;188;188;188;188;188;188;188;F;F;F;F;188;F;F;188;188;188;188;188;188;188;188;188]
188;[V;189;189;189;189;189;189;189;189;189;189;189;189;189;189;F;F;F;F;F;F;F;F;F;189;189;189;189;189;189;189;F;F;F;F;189;F;F;189;189;189;189;189;189;189;189;189]
189;[V;190;190;190;190;190;190;190;190;190;190;190;190;190;190;F;F;F;F;F;F;F;F;F;190;190;190;190;190;190;190;F;F;F;F;190;F;F;190;190;190;190;190;190;190;190;190]
190;[V;191;191;191;191;191;191;191;191;191;191;191;191;191;191;F;F;F;F;F;F;F;F;F;191;191;191;191;191;191;191;F;F;F;F;191;F;F;191;191;191;191;191;191;191;191;191]
191;[V;192;192;192;192;192;192;192;192;192;192;192;192;192;192;F;F;F;F;F;F;F;F;F;192;192;192;192;192;192;192;F;F;F;F;192;F;F;192;192;192;192;192;192;192;192;192]
192;[V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F]
